epoch,accuracy,loss,val_accuracy,val_loss
0,0.734749972820282,0.6297032237052917,0.8549107313156128,0.3362824618816376
1,0.8898390531539917,0.2799561619758606,0.8962053656578064,0.2325667291879654
2,0.9242957830429077,0.20501551032066345,0.9140625,0.21745069324970245
3,0.9383803009986877,0.1617095023393631,0.921875,0.20692646503448486
4,0.9640341997146606,0.11013846099376678,0.9151785969734192,0.2080129086971283
5,0.9730885028839111,0.08128714561462402,0.9140625,0.2609514892101288
6,0.9781187176704407,0.06776443123817444,0.9319196343421936,0.21441636979579926
7,0.988179087638855,0.03769702464342117,0.9363839030265808,0.19730642437934875
8,0.9471830725669861,0.14469438791275024,0.9017857313156128,0.3215489387512207
9,0.9788732528686523,0.06073544919490814,0.921875,0.2607487738132477
10,0.9924547076225281,0.027371499687433243,0.9252232313156128,0.2599584758281708
11,0.9911971688270569,0.024869538843631744,0.9118303656578064,0.38497382402420044
12,0.9934607744216919,0.020898517221212387,0.9196428656578064,0.3899720013141632
